Title,Company,Location,Salary Min,Salary Max,Currency,Remote,Posted Date,Deadline,Category,Description,Contact Email,Tags,Openings
"Senior Backend Engineer","Bekk Consulting AS","Oslo, Norway",950000,1200000,"NOK","Yes","2024-03-01","2024-04-01","Engineering","We are looking for a senior backend engineer with 5+ years of experience in distributed systems. You will work with Kotlin, Go and Postgres. Our team is growing fast and we need someone who can help us scale.","jobs@bekk.no","kotlin,go,postgres,distributed","2"
"Frontend Developer","Finn.no","Oslo, Norway",700000,900000,"NOK","Hybrid","2024-03-05","31.03.2024","Engineering","Finn.no søker en dyktig frontend-utvikler med erfaring fra React og TypeScript. Du vil jobbe i et tverrfaglig team med designere og produkteiere. Vi tilbyr gode muligheter for faglig utvikling og en inkluderende arbeidsplass.","rekruttering@finn.no","react,typescript,css,ux","1"
"Data Scientist","Aker BP","Stavanger, Norway",800000,1100000,"NOK","No","15.03.2024","","Data","Aker BP is seeking a data scientist to join our digital transformation team. Experience with Python, ML and time-series data from oil & gas operations is a plus. Relocation support available for international candidates.","talent@akerbp.com","python,ml,data-science,oil-gas","3"
"Product Manager","Vipps AS","Bergen, Norway",850000,1050000,"NOK","Hybrid","2024-03-10","2024-04-15","Product","Vipps søker en erfaren produktsjef til å lede utviklingen av vår betalingsplattform. Du har minst 5 års erfaring fra produktledelse i tech og er vant til å jobbe datadrevet. Norsk og engelsk er begge arbeidsspråk.","pm-jobs@vipps.no","product,payments,fintech,agile","1"
"DevOps Engineer","Equinor","Stavanger / Oslo",900000,1150000,"NOK","Yes","March 15, 2024","April 30, 2024","Engineering","We need a DevOps engineer experienced with Kubernetes, Terraform and Azure. You will be part of our Platform Engineering team responsible for CI/CD infrastructure across 200+ microservices. Security clearance may be required.","careers@equinor.com","kubernetes,terraform,azure,devops,platform","2"
"UX Designer","NAV","Oslo","550000","700000","NOK","Hybrid","2024-03-20","2024-05-01","Design","NAV (Arbeids- og velferdsdirektoratet) trenger en UX-designer som kan hjelpe oss med å gjøre offentlige tjenester mer tilgjengelige. Du vil jobbe tett med brukere og teknologiteam. Vi er opptatt av universell utforming (WCAG 2.2).","design@nav.no","ux,accessibility,wcag,public-sector","1"
"Machine Learning Engineer","Schibsted","Oslo, Norway",950000,1300000,"NOK","Hybrid","2024-03-22","","MLOps","Schibsted's AI Platform team is building the next generation of recommendation and personalisation systems. We work with large language models, vector databases and real-time inference. You'll work with Python, Rust and infrastructure on GCP.","ml-jobs@schibsted.com","ml,llm,python,rust,gcp,recommendations","4"
"iOS Developer","Kahoot!","Oslo, Norway",800000,1000000,"NOK","Yes","2024-03-25","2024-04-30","Engineering","Kahoot! is looking for an experienced iOS developer to help build the world's most popular learning platform. Experience with Swift and SwiftUI required. Our team of 3 iOS engineers ships to 9 million daily active users.","ios-jobs@kahoot.com","ios,swift,swiftui,mobile","1"
"Cloud Architect","Sopra Steria","Anywhere in Norway",1000000,1400000,"NOK","Full Remote","2024-03-28","2024-05-15","Architecture","As a Cloud Architect you will lead cloud transformation projects for large Norwegian enterprises. You must have AWS or Azure certifications and experience with enterprise architecture. Travel to client sites is expected (approx. 30%).","architect@soprasteria.no","aws,azure,cloud,enterprise,architect","2"
"Junior Developer (Lærling)","Bouvet","Trondheim, Norway","400000","500000","NOK","No","01.04.2024","30.04.2024","Engineering","Vi søker lærlinger og juniorutviklere til vårt kontor i Trondheim. Du bør ha fullført eller holde på med en bachelor i informatikk eller tilsvarende. Vi tilbyr mentoring, kurs og et godt fagmiljø. Ingen erfaring kreves – vi lærer deg det du trenger!","lærling@bouvet.no","junior,lærling,mentoring,trondheim","5"
"Security Analyst","Telenor","Fornebu, Norway",750000,950000,"NOK","Hybrid","2024-04-01","","Security","Telenor Security Operations Center seeks a security analyst with experience in SIEM, threat intelligence and incident response. CISSP or equivalent certification preferred. Norwegian language required.","security-jobs@telenor.no","security,siem,soc,cissp,incident-response","2"
"Engineering Manager","Kolonial.no","Oslo",1100000,1500000,"NOK","Hybrid","2024-04-02","2024-05-30","Engineering","Kolonial.no (Oda) er Norges ledende nettgrosist og vi søker en Engineering Manager til å lede et av våre produktteam. Du har erfaring fra å lede senior-ingeniørteam og forstår avveininger mellom teknisk gjeld og produktfart. Stillingen rapporterer til CTO.","em-jobs@kolonial.no","management,engineering,leadership,ecommerce","1"
"Blockchain Developer","","Oslo, Norway",900000,1200000,"NOK","Full Remote","2024-04-05","2024-06-01","Engineering","Anonymous company looking for blockchain developers. Experience with Solidity, Ethereum and Web3.js required. Must sign NDA before interview. Salary paid in a mix of NOK and cryptocurrency.","blockchain@anonymous.no","blockchain,solidity,ethereum,web3,crypto","3"
"Data Engineer","Norsk Hydro","Bergen / Stavanger","","","USD","1","2024-04-08","","Data","Hydro seeks a data engineer for our sustainability data platform. We work with large datasets on AWS, dbt, Spark and Snowflake. This role is part of our commitment to achieving net-zero by 2050.","dataeng@hydro.com","data-engineering,dbt,spark,snowflake,sustainability","2"
"Part-time Customer Success","Whereby","","400000","","NOK","Remote","2024-04-10","","Success","Whereby is hiring part-time customer success specialists (50% position). You'll help video conferencing customers with onboarding and support. Excellent written English required. Flexible hours.","cs@whereby.com","customer-success,part-time,remote,video","2"
